price,metro_station,minutes_to_metro,rooms,area,floor,total_floors,renovation,floor_ratio,is_first_floor,is_last_floor,is_studio,log_area,log_price
55000000.0,Улица 1905 года,4.0,3.0,110.0,6.0,8,Designer,0.75,0,0,0,4.709530201312334,17.822843761378564
58000000.0,Минская,7.0,3.0,90.0,14.0,25,Without renovation,0.56,0,0,0,4.51085950651685,17.87595358575207
64000000.0,Фили,13.0,3.0,112.0,17.0,25,Designer,0.68,0,0,0,4.727387818712341,17.974393656948944
67000000.0,Арбатская,7.0,3.0,102.9,3.0,9,Cosmetic,0.3333333333333333,0,0,0,4.6434288981051814,18.020203192280615
70000000.0,Улица 1905 года,3.0,3.0,100.9,16.0,22,European-style renovation,0.7272727272727273,0,0,0,4.623991940228679,18.064005814299346
69990000.0,Цветной бульвар,6.0,3.0,160.0,3.0,10,Designer,0.3,0,0,0,5.081404364984463,18.063862946953478
69900000.0,Третьяковская,9.0,3.0,102.0,7.0,9,European-style renovation,0.7777777777777778,0,0,0,4.634728988229636,18.06257622151019
76000000.0,Проспект Мира,5.0,3.0,120.9,6.0,12,European-style renovation,0.5,0,0,0,4.803201036487226,18.1462439114085
93000000.0,Третьяковская,11.0,3.0,141.5,2.0,8,Without renovation,0.25,0,0,0,4.959341999708705,18.34811006187022
96000000.0,Улица 1905 года,11.0,3.0,100.0,7.0,18,Without renovation,0.3888888888888889,0,0,0,4.61512051684126,18.379858759848776
99000000.0,Белорусская,7.0,3.0,126.6,6.0,27,Designer,0.2222222222222222,0,0,0,4.848900370910689,18.410630418199872
115000000.0,Деловой центр,4.0,3.0,189.0,41.0,73,Designer,0.5616438356164384,0,0,0,5.247024072160486,18.560442695023177
129990000.0,Кропоткинская,7.0,3.0,135.0,4.0,8,Designer,0.5,0,0,0,4.912654885736052,18.6829680900771
139000000.0,Улица 1905 года,15.0,3.0,100.0,18.0,21,Designer,0.8571428571428571,0,0,0,4.61512051684126,18.749984498289212
160000000.0,Парк культуры,5.0,3.0,114.0,2.0,6,European-style renovation,0.3333333333333333,0,0,0,4.74493212836325,18.8906843794481
165000000.0,Новокузнецкая,3.0,3.0,135.0,4.0,12,Designer,0.3333333333333333,0,0,0,4.912654885736052,18.92145603792546
194800000.0,Киевская,5.0,3.0,160.0,47.0,54,European-style renovation,0.8703703703703703,0,0,0,5.081404364984463,19.08748395430618
27770000.0,Парк Победы,3.0,3.0,67.6,5.0,12,Without renovation,0.4166666666666667,0,0,0,4.22829253473184,17.139466895293065
30500000.0,Багратионовская,22.0,3.0,60.1,8.0,30,Designer,0.26666666666666666,0,0,0,4.11251186617755,17.233237274364523
33000000.0,Нагатинский Затон,19.0,3.0,65.0,15.0,16,Designer,0.9375,0,0,0,4.189654742026425,17.312018149733785
33500000.0,Крылатское,5.0,3.0,94.1,20.0,23,Designer,0.8695652173913043,0,0,0,4.554928969551344,17.32705602664604
47000000.0,Щукинская,2.0,3.0,130.2,6.0,17,Designer,0.35294117647058826,0,0,0,4.876722876509988,17.665658180950928
59900000.0,Раменки,11.0,3.0,109.0,12.0,18,Designer,0.6666666666666666,0,0,0,4.700480365792417,17.90818707978017
64999999.0,Раменки,9.0,3.0,113.1,3.0,21,Designer,0.14285714285714285,0,0,0,4.73707525686803,17.98989782785991
99000000.0,Парк культуры,2.0,3.0,106.4,5.0,6,Designer,0.8333333333333334,0,0,0,4.676560182074764,18.410630418199872
115000000.0,Новокузнецкая,3.0,3.0,146.0,4.0,9,European-style renovation,0.4444444444444444,0,0,0,4.990432586778736,18.560442695023177
139000000.0,Беговая,25.0,3.0,100.0,18.0,21,Designer,0.8571428571428571,0,0,0,4.61512051684126,18.749984498289212
155000000.0,Спортивная,10.0,3.0,125.3,6.0,14,Without renovation,0.42857142857142855,0,0,0,4.838660029356445,18.858935681335133
33400000.0,Технопарк,14.0,3.0,85.0,8.0,8,Cosmetic,1.0,0,1,0,4.454347296253507,17.32406648788705
35000000.0,Аминьевская,2.0,3.0,61.0,17.0,39,Designer,0.4358974358974359,0,0,0,4.127134385045092,17.370858648025116
50000000.0,Шелепиха,2.0,3.0,108.0,12.0,53,Designer,0.22641509433962265,0,0,0,4.6913478822291435,17.72753358339242
84000000.0,Смоленская,9.0,3.0,212.4,5.0,17,Without renovation,0.29411764705882354,0,0,0,5.363168338867653,18.24632736871235
153000000.0,Арбатская,6.0,3.0,94.1,2.0,8,Designer,0.25,0,0,0,4.554928969551344,18.845948485892656
86200000.0,ЦСКА,7.0,4.0,244.1,21.0,23,Cosmetic,0.9130434782608695,0,0,0,5.501666290534067,18.27218074723485
73500000.0,Раменки,13.0,4.0,115.0,3.0,17,Designer,0.17647058823529413,0,0,0,4.7535901911063645,18.112795977788508
146000000.0,Кропоткинская,5.0,4.0,155.0,6.0,7,Designer,0.8571428571428571,0,0,0,5.049856007249537,18.799117186521926
146000000.0,Кропоткинская,3.0,4.0,153.0,6.0,7,Designer,0.8571428571428571,0,0,0,5.0369526024136295,18.799117186521926
37990000.0,Народное Ополчение,10.0,4.0,94.5,20.0,58,Without renovation,0.3448275862068966,0,0,0,4.5591262474866845,17.452833551486524
145000000.0,Белорусская,6.0,4.0,200.0,4.0,6,Designer,0.6666666666666666,0,0,0,5.303304908059076,18.7922443072814
159000000.0,Улица 1905 года,15.0,4.0,143.0,13.0,20,Designer,0.65,0,0,0,4.969813299576001,18.884414766473814
350000000.0,Парк культуры,6.0,4.0,233.2,6.0,8,European-style renovation,0.75,0,0,0,5.456175451163617,19.673443715304877
169000000.0,Библиотека и Ленина,4.0,4.0,137.0,4.0,5,Designer,0.8,0,0,0,4.927253685157205,18.945409278804508
180000000.0,Фрунзенская,10.0,4.0,187.0,7.0,11,Without renovation,0.6363636363636364,0,0,0,5.236441962829949,19.00846741441004
125000000.0,Китай-город,11.0,4.0,108.6,2.0,9,Designer,0.2222222222222222,0,0,0,4.696837374513915,18.643824303266577
169000000.0,Библиотека и Ленина,4.0,4.0,137.6,4.0,5,Designer,0.8,0,0,0,4.931592086755803,18.945409278804508
350000000.0,Парк культуры,6.0,4.0,249.0,2.0,6,Designer,0.3333333333333333,0,0,0,5.521460917862246,19.673443715304877
59990000.0,Народное Ополчение,10.0,4.0,108.6,38.0,58,Designer,0.6551724137931034,0,0,0,4.696837374513915,17.90968845629872
71000000.0,Марьина Роща,6.0,4.0,135.6,11.0,21,Without renovation,0.5238095238095238,0,0,0,4.91705694713669,18.078190449090098
61988000.0,Минская,14.0,4.0,115.6,3.0,14,Without renovation,0.21428571428571427,0,0,0,4.758749273916392,17.942451392021518
43000000.0,Народное Ополчение,10.0,4.0,108.2,11.0,58,Without renovation,0.1896551724137931,0,0,0,4.693181063310805,17.57671069691365
52500000.0,Народное Ополчение,10.0,4.0,127.5,20.0,58,Without renovation,0.3448275862068966,0,0,0,4.855928904335275,17.77632374660947
69000000.0,Минская,20.0,4.0,92.8,8.0,14,Designer,0.5714285714285714,0,0,0,4.541164856012179,18.049617077054286
95000000.0,Раменки,1.0,4.0,201.0,14.0,23,Designer,0.6086956521739131,0,0,0,5.308267697401205,18.36938746009113
125000000.0,Китай-город,13.0,4.0,109.0,2.0,9,Designer,0.2222222222222222,0,0,0,4.700480365792417,18.643824303266577
170000000.0,Баррикадная,15.0,4.0,170.0,2.0,5,European-style renovation,0.4,0,0,0,5.14166355650266,18.951309000896888
42000000.0,Фили,6.0,4.0,113.0,4.0,44,Without renovation,0.09090909090909091,0,0,0,4.736198448394496,17.553180200057167
270000000.0,Белорусская,7.0,4.0,316.0,6.0,6,Designer,1.0,0,1,0,5.75890177387728,19.413932520666354
59900000.0,Улица 1905 года,13.0,4.0,89.0,8.0,44,Designer,0.18181818181818182,0,0,0,4.499809670330265,17.90818707978017
68000000.0,Смоленская,4.0,4.0,95.0,5.0,6,Designer,0.8333333333333334,0,0,0,4.564348191467836,18.035018277846262
350000000.0,Боровицкая,11.0,4.0,216.0,4.0,6,Without renovation,0.6666666666666666,0,0,0,5.37989735354046,19.673443715304877
190000000.0,Улица 1905 года,10.0,4.0,167.8,20.0,21,Designer,0.9523809523809523,0,0,0,5.128714582161857,19.06253463538792
40000000.0,Кунцевская,19.0,4.0,97.9,6.0,12,Designer,0.5,0,0,0,4.594109238628667,17.50439003707821
67000000.0,Охотный ряд,4.0,4.0,84.8,2.0,8,Without renovation,0.25,0,0,0,4.4520190064939165,18.020203192280615
80000000.0,Динамо,17.0,4.0,135.7,2.0,41,Designer,0.04878048780487805,0,0,0,4.917788743729904,18.197537205138154
